,hot_cold_class,pos_neg_class,date,Degrees Celsius,Wind Gust (MPH),Precipitation,Wind Speed,Humidity,Weather,Visibility
366,cold,Negative,2017-01-03,-1,11,4,7,85,2,GO
367,cold,Negative,2017-01-03,-1,13,5,7,85,7,GO
368,cold,Negative,2017-01-03,3,16,5,9,77,7,GO
369,cold,Negative,2017-01-03,3,18,42,9,78,12,MO
370,cold,Negative,2017-01-03,2,20,60,11,87,12,MO
371,cold,Negative,2017-01-03,3,22,50,11,90,12,MO
372,cold,Negative,2017-01-03,4,18,20,9,92,8,GO
373,cold,Negative,2017-01-03,5,16,18,9,95,8,GO
374,cold,Negative,2017-01-03,6,13,15,7,95,8,GO
375,cold,Negative,2017-01-03,7,13,9,7,94,7,GO
376,cold,Negative,2017-01-03,8,16,9,7,91,8,GO
377,cold,Negative,2017-01-03,8,13,9,7,90,8,GO
378,cold,Negative,2017-01-03,7,13,5,7,89,7,GO
379,cold,Negative,2017-01-03,6,11,5,4,91,7,GO
456,cold,Negative,2017-01-03,-5,18,1,7,93,0,MO
457,cold,Negative,2017-01-03,-4,18,1,7,92,1,MO
458,cold,Negative,2017-01-03,0,18,1,9,79,3,MO
459,cold,Negative,2017-01-03,2,20,9,9,75,8,GO
460,cold,Negative,2017-01-03,1,20,10,9,80,8,GO
461,cold,Negative,2017-01-03,1,22,11,11,81,8,VG
462,cold,Negative,2017-01-03,2,20,10,9,82,8,VG
463,cold,Negative,2017-01-03,2,20,8,9,82,8,VG
464,cold,Negative,2017-01-03,3,22,9,11,83,7,VG
465,cold,Negative,2017-01-03,4,20,20,9,85,8,GO
466,cold,Negative,2017-01-03,4,18,13,9,68,7,VG
467,cold,Negative,2017-01-03,3,18,0,9,59,1,VG
468,cold,Negative,2017-01-03,1,16,0,7,68,0,GO
469,cold,Negative,2017-01-03,-1,16,0,7,74,0,VG
470,cold,Negative,2017-01-03,-1,16,0,7,78,0,VG
471,cold,Negative,2017-01-03,-2,11,0,4,83,0,GO
472,cold,Negative,2017-01-03,-2,7,0,4,85,0,GO
473,cold,Negative,2017-01-03,-2,4,0,2,88,1,GO
474,cold,Negative,2017-01-03,1,4,0,2,80,1,GO
475,cold,Negative,2017-01-03,2,4,0,2,81,1,GO
476,cold,Negative,2017-01-03,-1,4,1,2,89,2,GO
477,cold,Negative,2017-01-03,-2,7,4,4,92,7,GO
478,cold,Negative,2017-01-03,-1,7,6,4,92,7,MO
479,cold,Negative,2017-01-03,-2,9,6,4,89,7,GO
480,cold,Negative,2017-01-03,-1,11,4,7,85,2,GO
481,cold,Negative,2017-01-03,-1,13,5,7,85,7,GO
482,cold,Negative,2017-01-03,3,16,5,9,77,7,GO
483,cold,Negative,2017-01-03,3,18,42,9,78,12,MO
484,cold,Negative,2017-01-03,2,20,60,11,87,12,MO
485,cold,Negative,2017-01-03,3,22,50,11,90,12,MO
486,cold,Negative,2017-01-03,4,18,20,9,92,8,GO
487,cold,Negative,2017-01-03,5,16,18,9,95,8,GO
488,cold,Negative,2017-01-03,6,13,15,7,95,8,GO
489,cold,Negative,2017-01-03,7,13,9,7,94,7,GO
490,cold,Negative,2017-01-03,8,16,9,7,91,8,GO
491,cold,Negative,2017-01-03,8,13,9,7,90,8,GO
492,cold,Negative,2017-01-03,7,13,5,7,89,7,GO
493,cold,Negative,2017-01-03,6,11,5,4,91,7,GO
570,cold,Positive,2017-01-03,-5,18,1,7,93,0,MO
571,cold,Positive,2017-01-03,-4,18,1,7,92,1,MO
572,cold,Positive,2017-01-03,0,18,1,9,79,3,MO
573,cold,Positive,2017-01-03,2,20,9,9,75,8,GO
574,cold,Positive,2017-01-03,1,20,10,9,80,8,GO
575,cold,Positive,2017-01-03,1,22,11,11,81,8,VG
576,cold,Positive,2017-01-03,2,20,10,9,82,8,VG
577,cold,Positive,2017-01-03,2,20,8,9,82,8,VG
578,cold,Positive,2017-01-03,3,22,9,11,83,7,VG
579,cold,Positive,2017-01-03,4,20,20,9,85,8,GO
580,cold,Positive,2017-01-03,4,18,13,9,68,7,VG
581,cold,Positive,2017-01-03,3,18,0,9,59,1,VG
582,cold,Positive,2017-01-03,1,16,0,7,68,0,GO
583,cold,Positive,2017-01-03,-1,16,0,7,74,0,VG
584,cold,Positive,2017-01-03,-1,16,0,7,78,0,VG
585,cold,Positive,2017-01-03,-2,11,0,4,83,0,GO
586,cold,Positive,2017-01-03,-2,7,0,4,85,0,GO
587,cold,Positive,2017-01-03,-2,4,0,2,88,1,GO
588,cold,Positive,2017-01-03,1,4,0,2,80,1,GO
589,cold,Positive,2017-01-03,2,4,0,2,81,1,GO
590,cold,Positive,2017-01-03,-1,4,1,2,89,2,GO
591,cold,Positive,2017-01-03,-2,7,4,4,92,7,GO
592,cold,Positive,2017-01-03,-1,7,6,4,92,7,MO
593,cold,Positive,2017-01-03,-2,9,6,4,89,7,GO
594,cold,Positive,2017-01-03,-1,11,4,7,85,2,GO
595,cold,Positive,2017-01-03,-1,13,5,7,85,7,GO
596,cold,Positive,2017-01-03,3,16,5,9,77,7,GO
597,cold,Positive,2017-01-03,3,18,42,9,78,12,MO
598,cold,Positive,2017-01-03,2,20,60,11,87,12,MO
599,cold,Positive,2017-01-03,3,22,50,11,90,12,MO
600,cold,Positive,2017-01-03,4,18,20,9,92,8,GO
601,cold,Positive,2017-01-03,5,16,18,9,95,8,GO
602,cold,Positive,2017-01-03,6,13,15,7,95,8,GO
603,cold,Positive,2017-01-03,7,13,9,7,94,7,GO
604,cold,Positive,2017-01-03,8,16,9,7,91,8,GO
605,cold,Positive,2017-01-03,8,13,9,7,90,8,GO
606,cold,Positive,2017-01-03,7,13,5,7,89,7,GO
607,cold,Positive,2017-01-03,6,11,5,4,91,7,GO
608,cold,Negative,2017-01-03,-5,18,1,7,93,0,MO
609,cold,Negative,2017-01-03,-4,18,1,7,92,1,MO
610,cold,Negative,2017-01-03,0,18,1,9,79,3,MO
611,cold,Negative,2017-01-03,2,20,9,9,75,8,GO
612,cold,Negative,2017-01-03,1,20,10,9,80,8,GO
613,cold,Negative,2017-01-03,1,22,11,11,81,8,VG
614,cold,Negative,2017-01-03,2,20,10,9,82,8,VG
615,cold,Negative,2017-01-03,2,20,8,9,82,8,VG
616,cold,Negative,2017-01-03,3,22,9,11,83,7,VG
617,cold,Negative,2017-01-03,4,20,20,9,85,8,GO
618,cold,Negative,2017-01-03,4,18,13,9,68,7,VG
619,cold,Negative,2017-01-03,3,18,0,9,59,1,VG
620,cold,Negative,2017-01-03,1,16,0,7,68,0,GO
621,cold,Negative,2017-01-03,-1,16,0,7,74,0,VG
622,cold,Negative,2017-01-03,-1,16,0,7,78,0,VG
623,cold,Negative,2017-01-03,-2,11,0,4,83,0,GO
624,cold,Negative,2017-01-03,-2,7,0,4,85,0,GO
625,cold,Negative,2017-01-03,-2,4,0,2,88,1,GO
626,cold,Negative,2017-01-03,1,4,0,2,80,1,GO
627,cold,Negative,2017-01-03,2,4,0,2,81,1,GO
628,cold,Negative,2017-01-03,-1,4,1,2,89,2,GO
629,cold,Negative,2017-01-03,-2,7,4,4,92,7,GO
630,cold,Negative,2017-01-03,-1,7,6,4,92,7,MO
631,cold,Negative,2017-01-03,-2,9,6,4,89,7,GO
632,cold,Negative,2017-01-03,-1,11,4,7,85,2,GO
633,cold,Negative,2017-01-03,-1,13,5,7,85,7,GO
634,cold,Negative,2017-01-03,3,16,5,9,77,7,GO
635,cold,Negative,2017-01-03,3,18,42,9,78,12,MO
636,cold,Negative,2017-01-03,2,20,60,11,87,12,MO
637,cold,Negative,2017-01-03,3,22,50,11,90,12,MO
638,cold,Negative,2017-01-03,4,18,20,9,92,8,GO
639,cold,Negative,2017-01-03,5,16,18,9,95,8,GO
640,cold,Negative,2017-01-03,6,13,15,7,95,8,GO
641,cold,Negative,2017-01-03,7,13,9,7,94,7,GO
642,cold,Negative,2017-01-03,8,16,9,7,91,8,GO
643,cold,Negative,2017-01-03,8,13,9,7,90,8,GO
644,cold,Negative,2017-01-03,7,13,5,7,89,7,GO
645,cold,Negative,2017-01-03,6,11,5,4,91,7,GO
1216,cold,Negative,2017-01-03,-5,18,1,7,93,0,MO
1217,cold,Negative,2017-01-03,-4,18,1,7,92,1,MO
1218,cold,Negative,2017-01-03,0,18,1,9,79,3,MO
1219,cold,Negative,2017-01-03,2,20,9,9,75,8,GO
1220,cold,Negative,2017-01-03,1,20,10,9,80,8,GO
1221,cold,Negative,2017-01-03,1,22,11,11,81,8,VG
1222,cold,Negative,2017-01-03,2,20,10,9,82,8,VG
1223,cold,Negative,2017-01-03,2,20,8,9,82,8,VG
1224,cold,Negative,2017-01-03,3,22,9,11,83,7,VG
1225,cold,Negative,2017-01-03,4,20,20,9,85,8,GO
1226,cold,Negative,2017-01-03,4,18,13,9,68,7,VG
1227,cold,Negative,2017-01-03,3,18,0,9,59,1,VG
1228,cold,Negative,2017-01-03,1,16,0,7,68,0,GO
1229,cold,Negative,2017-01-03,-1,16,0,7,74,0,VG
1230,cold,Negative,2017-01-03,-1,16,0,7,78,0,VG
1231,cold,Negative,2017-01-03,-2,11,0,4,83,0,GO
1232,cold,Negative,2017-01-03,-2,7,0,4,85,0,GO
1233,cold,Negative,2017-01-03,-2,4,0,2,88,1,GO
1234,cold,Negative,2017-01-03,1,4,0,2,80,1,GO
1235,cold,Negative,2017-01-03,2,4,0,2,81,1,GO
1236,cold,Negative,2017-01-03,-1,4,1,2,89,2,GO
1237,cold,Negative,2017-01-03,-2,7,4,4,92,7,GO
1238,cold,Negative,2017-01-03,-1,7,6,4,92,7,MO
1239,cold,Negative,2017-01-03,-2,9,6,4,89,7,GO
1240,cold,Negative,2017-01-03,-1,11,4,7,85,2,GO
1241,cold,Negative,2017-01-03,-1,13,5,7,85,7,GO
1242,cold,Negative,2017-01-03,3,16,5,9,77,7,GO
1243,cold,Negative,2017-01-03,3,18,42,9,78,12,MO
1244,cold,Negative,2017-01-03,2,20,60,11,87,12,MO
1245,cold,Negative,2017-01-03,3,22,50,11,90,12,MO
1246,cold,Negative,2017-01-03,4,18,20,9,92,8,GO
1247,cold,Negative,2017-01-03,5,16,18,9,95,8,GO
1248,cold,Negative,2017-01-03,6,13,15,7,95,8,GO
1249,cold,Negative,2017-01-03,7,13,9,7,94,7,GO
1250,cold,Negative,2017-01-03,8,16,9,7,91,8,GO
1251,cold,Negative,2017-01-03,8,13,9,7,90,8,GO
1252,cold,Negative,2017-01-03,7,13,5,7,89,7,GO
1253,cold,Negative,2017-01-03,6,11,5,4,91,7,GO
2508,cold,Negative,2017-01-03,-5,18,1,7,93,0,MO
2509,cold,Negative,2017-01-03,-4,18,1,7,92,1,MO
2510,cold,Negative,2017-01-03,0,18,1,9,79,3,MO
2511,cold,Negative,2017-01-03,2,20,9,9,75,8,GO
2512,cold,Negative,2017-01-03,1,20,10,9,80,8,GO
2513,cold,Negative,2017-01-03,1,22,11,11,81,8,VG
2514,cold,Negative,2017-01-03,2,20,10,9,82,8,VG
2515,cold,Negative,2017-01-03,2,20,8,9,82,8,VG
2516,cold,Negative,2017-01-03,3,22,9,11,83,7,VG
2517,cold,Negative,2017-01-03,4,20,20,9,85,8,GO
2518,cold,Negative,2017-01-03,4,18,13,9,68,7,VG
2519,cold,Negative,2017-01-03,3,18,0,9,59,1,VG
2520,cold,Negative,2017-01-03,1,16,0,7,68,0,GO
2521,cold,Negative,2017-01-03,-1,16,0,7,74,0,VG
2522,cold,Negative,2017-01-03,-1,16,0,7,78,0,VG
2523,cold,Negative,2017-01-03,-2,11,0,4,83,0,GO
2524,cold,Negative,2017-01-03,-2,7,0,4,85,0,GO
2525,cold,Negative,2017-01-03,-2,4,0,2,88,1,GO
2526,cold,Negative,2017-01-03,1,4,0,2,80,1,GO
2527,cold,Negative,2017-01-03,2,4,0,2,81,1,GO
2528,cold,Negative,2017-01-03,-1,4,1,2,89,2,GO
2529,cold,Negative,2017-01-03,-2,7,4,4,92,7,GO
2530,cold,Negative,2017-01-03,-1,7,6,4,92,7,MO
2531,cold,Negative,2017-01-03,-2,9,6,4,89,7,GO
2532,cold,Negative,2017-01-03,-1,11,4,7,85,2,GO
2533,cold,Negative,2017-01-03,-1,13,5,7,85,7,GO
2534,cold,Negative,2017-01-03,3,16,5,9,77,7,GO
2535,cold,Negative,2017-01-03,3,18,42,9,78,12,MO
2536,cold,Negative,2017-01-03,2,20,60,11,87,12,MO
2537,cold,Negative,2017-01-03,3,22,50,11,90,12,MO
2538,cold,Negative,2017-01-03,4,18,20,9,92,8,GO
2539,cold,Negative,2017-01-03,5,16,18,9,95,8,GO
2540,cold,Negative,2017-01-03,6,13,15,7,95,8,GO
2541,cold,Negative,2017-01-03,7,13,9,7,94,7,GO
2542,cold,Negative,2017-01-03,8,16,9,7,91,8,GO
2543,cold,Negative,2017-01-03,8,13,9,7,90,8,GO
2544,cold,Negative,2017-01-03,7,13,5,7,89,7,GO
2545,cold,Negative,2017-01-03,6,11,5,4,91,7,GO
2546,cold,Negative,2017-01-03,-5,18,1,7,93,0,MO
2547,cold,Negative,2017-01-03,-4,18,1,7,92,1,MO
2548,cold,Negative,2017-01-03,0,18,1,9,79,3,MO
2549,cold,Negative,2017-01-03,2,20,9,9,75,8,GO
2550,cold,Negative,2017-01-03,1,20,10,9,80,8,GO
2551,cold,Negative,2017-01-03,1,22,11,11,81,8,VG
2552,cold,Negative,2017-01-03,2,20,10,9,82,8,VG
2553,cold,Negative,2017-01-03,2,20,8,9,82,8,VG
2554,cold,Negative,2017-01-03,3,22,9,11,83,7,VG
2555,cold,Negative,2017-01-03,4,20,20,9,85,8,GO
2556,cold,Negative,2017-01-03,4,18,13,9,68,7,VG
2557,cold,Negative,2017-01-03,3,18,0,9,59,1,VG
2558,cold,Negative,2017-01-03,1,16,0,7,68,0,GO
2559,cold,Negative,2017-01-03,-1,16,0,7,74,0,VG
2560,cold,Negative,2017-01-03,-1,16,0,7,78,0,VG
2561,cold,Negative,2017-01-03,-2,11,0,4,83,0,GO
2562,cold,Negative,2017-01-03,-2,7,0,4,85,0,GO
2563,cold,Negative,2017-01-03,-2,4,0,2,88,1,GO
2564,cold,Negative,2017-01-03,1,4,0,2,80,1,GO
2565,cold,Negative,2017-01-03,2,4,0,2,81,1,GO
2566,cold,Negative,2017-01-03,-1,4,1,2,89,2,GO
2567,cold,Negative,2017-01-03,-2,7,4,4,92,7,GO
2568,cold,Negative,2017-01-03,-1,7,6,4,92,7,MO
2569,cold,Negative,2017-01-03,-2,9,6,4,89,7,GO
2570,cold,Negative,2017-01-03,-1,11,4,7,85,2,GO
2571,cold,Negative,2017-01-03,-1,13,5,7,85,7,GO
2572,cold,Negative,2017-01-03,3,16,5,9,77,7,GO
2573,cold,Negative,2017-01-03,3,18,42,9,78,12,MO
2574,cold,Negative,2017-01-03,2,20,60,11,87,12,MO
2575,cold,Negative,2017-01-03,3,22,50,11,90,12,MO
2576,cold,Negative,2017-01-03,4,18,20,9,92,8,GO
2577,cold,Negative,2017-01-03,5,16,18,9,95,8,GO
2578,cold,Negative,2017-01-03,6,13,15,7,95,8,GO
2579,cold,Negative,2017-01-03,7,13,9,7,94,7,GO
2580,cold,Negative,2017-01-03,8,16,9,7,91,8,GO
2581,cold,Negative,2017-01-03,8,13,9,7,90,8,GO
2582,cold,Negative,2017-01-03,7,13,5,7,89,7,GO
2583,cold,Negative,2017-01-03,6,11,5,4,91,7,GO
2736,cold,Negative,2017-01-03,-5,18,1,7,93,0,MO
2737,cold,Negative,2017-01-03,-4,18,1,7,92,1,MO
2738,cold,Negative,2017-01-03,0,18,1,9,79,3,MO
2739,cold,Negative,2017-01-03,2,20,9,9,75,8,GO
2740,cold,Negative,2017-01-03,1,20,10,9,80,8,GO
2741,cold,Negative,2017-01-03,1,22,11,11,81,8,VG
2742,cold,Negative,2017-01-03,2,20,10,9,82,8,VG
2743,cold,Negative,2017-01-03,2,20,8,9,82,8,VG
2744,cold,Negative,2017-01-03,3,22,9,11,83,7,VG
2745,cold,Negative,2017-01-03,4,20,20,9,85,8,GO
2746,cold,Negative,2017-01-03,4,18,13,9,68,7,VG
2747,cold,Negative,2017-01-03,3,18,0,9,59,1,VG
2748,cold,Negative,2017-01-03,1,16,0,7,68,0,GO
2749,cold,Negative,2017-01-03,-1,16,0,7,74,0,VG
2750,cold,Negative,2017-01-03,-1,16,0,7,78,0,VG
2751,cold,Negative,2017-01-03,-2,11,0,4,83,0,GO
2752,cold,Negative,2017-01-03,-2,7,0,4,85,0,GO
2753,cold,Negative,2017-01-03,-2,4,0,2,88,1,GO
2754,cold,Negative,2017-01-03,1,4,0,2,80,1,GO
2755,cold,Negative,2017-01-03,2,4,0,2,81,1,GO
2756,cold,Negative,2017-01-03,-1,4,1,2,89,2,GO
2757,cold,Negative,2017-01-03,-2,7,4,4,92,7,GO
2758,cold,Negative,2017-01-03,-1,7,6,4,92,7,MO
2759,cold,Negative,2017-01-03,-2,9,6,4,89,7,GO
2760,cold,Negative,2017-01-03,-1,11,4,7,85,2,GO
2761,cold,Negative,2017-01-03,-1,13,5,7,85,7,GO
2762,cold,Negative,2017-01-03,3,16,5,9,77,7,GO
2763,cold,Negative,2017-01-03,3,18,42,9,78,12,MO
2764,cold,Negative,2017-01-03,2,20,60,11,87,12,MO
2765,cold,Negative,2017-01-03,3,22,50,11,90,12,MO
2766,cold,Negative,2017-01-03,4,18,20,9,92,8,GO
2767,cold,Negative,2017-01-03,5,16,18,9,95,8,GO
2768,cold,Negative,2017-01-03,6,13,15,7,95,8,GO
2769,cold,Negative,2017-01-03,7,13,9,7,94,7,GO
2770,cold,Negative,2017-01-03,8,16,9,7,91,8,GO
2771,cold,Negative,2017-01-03,8,13,9,7,90,8,GO
2772,cold,Negative,2017-01-03,7,13,5,7,89,7,GO
2773,cold,Negative,2017-01-03,6,11,5,4,91,7,GO
2774,cold,Negative,2017-01-03,-5,18,1,7,93,0,MO
2775,cold,Negative,2017-01-03,-4,18,1,7,92,1,MO
2776,cold,Negative,2017-01-03,0,18,1,9,79,3,MO
2777,cold,Negative,2017-01-03,2,20,9,9,75,8,GO
2778,cold,Negative,2017-01-03,1,20,10,9,80,8,GO
2779,cold,Negative,2017-01-03,1,22,11,11,81,8,VG
2780,cold,Negative,2017-01-03,2,20,10,9,82,8,VG
2781,cold,Negative,2017-01-03,2,20,8,9,82,8,VG
2782,cold,Negative,2017-01-03,3,22,9,11,83,7,VG
2783,cold,Negative,2017-01-03,4,20,20,9,85,8,GO
2784,cold,Negative,2017-01-03,4,18,13,9,68,7,VG
2785,cold,Negative,2017-01-03,3,18,0,9,59,1,VG
2786,cold,Negative,2017-01-03,1,16,0,7,68,0,GO
2787,cold,Negative,2017-01-03,-1,16,0,7,74,0,VG
2788,cold,Negative,2017-01-03,-1,16,0,7,78,0,VG
2789,cold,Negative,2017-01-03,-2,11,0,4,83,0,GO
2790,cold,Negative,2017-01-03,-2,7,0,4,85,0,GO
2791,cold,Negative,2017-01-03,-2,4,0,2,88,1,GO
2792,cold,Negative,2017-01-03,1,4,0,2,80,1,GO
2793,cold,Negative,2017-01-03,2,4,0,2,81,1,GO
2794,cold,Negative,2017-01-03,-1,4,1,2,89,2,GO
2795,cold,Negative,2017-01-03,-2,7,4,4,92,7,GO
2796,cold,Negative,2017-01-03,-1,7,6,4,92,7,MO
2797,cold,Negative,2017-01-03,-2,9,6,4,89,7,GO
2798,cold,Negative,2017-01-03,-1,11,4,7,85,2,GO
2799,cold,Negative,2017-01-03,-1,13,5,7,85,7,GO
2800,cold,Negative,2017-01-03,3,16,5,9,77,7,GO
2801,cold,Negative,2017-01-03,3,18,42,9,78,12,MO
2802,cold,Negative,2017-01-03,2,20,60,11,87,12,MO
2803,cold,Negative,2017-01-03,3,22,50,11,90,12,MO
2804,cold,Negative,2017-01-03,4,18,20,9,92,8,GO
2805,cold,Negative,2017-01-03,5,16,18,9,95,8,GO
2806,cold,Negative,2017-01-03,6,13,15,7,95,8,GO
2807,cold,Negative,2017-01-03,7,13,9,7,94,7,GO
2808,cold,Negative,2017-01-03,8,16,9,7,91,8,GO
2809,cold,Negative,2017-01-03,8,13,9,7,90,8,GO
2810,cold,Negative,2017-01-03,7,13,5,7,89,7,GO
2811,cold,Negative,2017-01-03,6,11,5,4,91,7,GO
2964,cold,Negative,2017-01-03,-5,18,1,7,93,0,MO
2965,cold,Negative,2017-01-03,-4,18,1,7,92,1,MO
2966,cold,Negative,2017-01-03,0,18,1,9,79,3,MO
2967,cold,Negative,2017-01-03,2,20,9,9,75,8,GO
2968,cold,Negative,2017-01-03,1,20,10,9,80,8,GO
2969,cold,Negative,2017-01-03,1,22,11,11,81,8,VG
2970,cold,Negative,2017-01-03,2,20,10,9,82,8,VG
2971,cold,Negative,2017-01-03,2,20,8,9,82,8,VG
2972,cold,Negative,2017-01-03,3,22,9,11,83,7,VG
2973,cold,Negative,2017-01-03,4,20,20,9,85,8,GO
2974,cold,Negative,2017-01-03,4,18,13,9,68,7,VG
2975,cold,Negative,2017-01-03,3,18,0,9,59,1,VG
2976,cold,Negative,2017-01-03,1,16,0,7,68,0,GO
2977,cold,Negative,2017-01-03,-1,16,0,7,74,0,VG
2978,cold,Negative,2017-01-03,-1,16,0,7,78,0,VG
2979,cold,Negative,2017-01-03,-2,11,0,4,83,0,GO
2980,cold,Negative,2017-01-03,-2,7,0,4,85,0,GO
2981,cold,Negative,2017-01-03,-2,4,0,2,88,1,GO
2982,cold,Negative,2017-01-03,1,4,0,2,80,1,GO
2983,cold,Negative,2017-01-03,2,4,0,2,81,1,GO
2984,cold,Negative,2017-01-03,-1,4,1,2,89,2,GO
2985,cold,Negative,2017-01-03,-2,7,4,4,92,7,GO
2986,cold,Negative,2017-01-03,-1,7,6,4,92,7,MO
2987,cold,Negative,2017-01-03,-2,9,6,4,89,7,GO
2988,cold,Negative,2017-01-03,-1,11,4,7,85,2,GO
2989,cold,Negative,2017-01-03,-1,13,5,7,85,7,GO
2990,cold,Negative,2017-01-03,3,16,5,9,77,7,GO
2991,cold,Negative,2017-01-03,3,18,42,9,78,12,MO
2992,cold,Negative,2017-01-03,2,20,60,11,87,12,MO
2993,cold,Negative,2017-01-03,3,22,50,11,90,12,MO
2994,cold,Negative,2017-01-03,4,18,20,9,92,8,GO
2995,cold,Negative,2017-01-03,5,16,18,9,95,8,GO
2996,cold,Negative,2017-01-03,6,13,15,7,95,8,GO
2997,cold,Negative,2017-01-03,7,13,9,7,94,7,GO
2998,cold,Negative,2017-01-03,8,16,9,7,91,8,GO
2999,cold,Negative,2017-01-03,8,13,9,7,90,8,GO
3000,cold,Negative,2017-01-03,7,13,5,7,89,7,GO
3001,cold,Negative,2017-01-03,6,11,5,4,91,7,GO
3458,cold,Negative,2017-01-03,-5,18,1,7,93,0,MO
3459,cold,Negative,2017-01-03,-4,18,1,7,92,1,MO
3460,cold,Negative,2017-01-03,0,18,1,9,79,3,MO
3461,cold,Negative,2017-01-03,2,20,9,9,75,8,GO
3462,cold,Negative,2017-01-03,1,20,10,9,80,8,GO
3463,cold,Negative,2017-01-03,1,22,11,11,81,8,VG
3464,cold,Negative,2017-01-03,2,20,10,9,82,8,VG
3465,cold,Negative,2017-01-03,2,20,8,9,82,8,VG
3466,cold,Negative,2017-01-03,3,22,9,11,83,7,VG
3467,cold,Negative,2017-01-03,4,20,20,9,85,8,GO
3468,cold,Negative,2017-01-03,4,18,13,9,68,7,VG
3469,cold,Negative,2017-01-03,3,18,0,9,59,1,VG
3470,cold,Negative,2017-01-03,1,16,0,7,68,0,GO
3471,cold,Negative,2017-01-03,-1,16,0,7,74,0,VG
3472,cold,Negative,2017-01-03,-1,16,0,7,78,0,VG
3473,cold,Negative,2017-01-03,-2,11,0,4,83,0,GO
